dataset,algorithm,acc.mean,acc.sd,auc.mean,auc.sd,loss.mean,loss.sd,time.mean,time.sd
ringnorm,quic,0.981532610226793,0.00244667107173208,0.998227682275791,0.000297482548342449,0.0518270738428493,0.00716995671034951,0.00983333333376019,0.00139168301318585
waveform,diag,0.80543378023693,0.00643014325714694,0.953262268760088,0.00636935148648824,0.810267567608042,0.0956997200529105,0.00666666666656965,0.00132178910553108
waveform,emp,0.781095268496843,0.00985585086043741,0.937660666048157,0.00486769287098068,0.674412130427518,0.0458772437462751,0.00586666666713427,0.000507416262816061
waveform,oas,0.799524721571966,0.00677489378955967,0.947251522325192,0.00326069980831539,0.498639257879688,0.0264145522403187,0.0053999999994024,0.00072397370853222
waveform,ss,0.797375328083989,0.00749692664507177,0.945614503114345,0.00359907508593479,0.505596596210108,0.0257585601134072,0.0169333333336302,0.00307305681103209
waveform,ppca,0.801475491239271,0.0059591688796762,0.948169180713935,0.0026908595785987,0.484076555539926,0.02812799049244,0.0196000000001125,0.00369155606827573
waveform,spc,0.801475491239271,0.0059591688796762,0.94816909724837,0.00269079590690295,0.484071756222296,0.0281297636866701,0.0758000000004055,0.0237463608833281
waveform,quic,0.820224161169043,0.00968501709925354,0.95752202461973,0.00434723197750726,0.384202733474659,0.0375317652531056,0.0490999999999379,0.00445939535090773
waveformnoise,diag,0.796601390662693,0.00773541796584334,0.948814276505916,0.00478460231887824,0.809191436768195,0.087532236525095,0.0095666666663116,0.000626062315860459
waveformnoise,emp,0.691102596849723,0.0135217955322622,0.880533529196239,0.00842154988932046,2.19060703551025,0.201174901290276,0.0101333333337,0.00138298361429245
waveformnoise,oas,0.758947069675039,0.00939528941447877,0.921447105094229,0.0050862171400282,0.702154002467356,0.0494137151761886,0.00753333333195769,0.00156983050431532
waveformnoise,ss,0.757634454377749,0.00858979926117308,0.920105259075528,0.00511095800994352,0.750695556137234,0.0455040087491254,0.0259999999997187,0.00074278135319731
waveformnoise,ppca,0.787242798353909,0.0136381468884329,0.938314621231567,0.0071492303655869,0.47148415798806,0.0505730869812815,0.0528666666672507,0.000776079152548783
waveformnoise,spc,0.788775365403718,0.0137349019622164,0.939586074732352,0.00717567940555595,0.460280170164431,0.0492298980824163,2.34773333333311,0.193133852696774
waveformnoise,quic,0.778373776074926,0.0225414138027388,0.93678270854253,0.0112107590554951,0.593939908023902,0.176699082302806,0.226166666666783,0.0234654306759496
corelearn,diag,0.769958147123501,0.00928640367881911,0.835575771233738,0.00709857916204259,0.702344217252291,0.0563768031635283,0.00420000000037059,0.000961320930601088
corelearn,emp,0.768468468468469,0.00829831784574708,0.833052917638412,0.00726811716906246,0.814679653874934,0.067651123942699,0.00400000000032984,0.000870988340888829
corelearn,oas,0.754032772930411,0.0053626451363446,0.819851925199455,0.00549808748828604,0.581335896147839,0.0240736041489076,0.00346666666640279,0.000571346464659473
corelearn,ss,0.76553876711357,0.00702131039919447,0.83172421897182,0.0064335128566219,0.626790768627339,0.0410899110026794,0.0115333333339853,0.00161316423559395
corelearn,ppca,0.753224090231964,0.0180350114053927,0.81801790100175,0.0169315670984442,0.808202714596513,0.0675205953667391,0.00950000000060148,0.000731083276520294
corelearn,spc,0.753082216074342,0.0172314971297026,0.818313742035676,0.0167698917907722,0.811096048736883,0.0621727857799063,0.645100000000578,0.127720694729112
corelearn,quic,0.771064765552955,0.00798532348813239,0.836568518154196,0.00672802490737109,0.68631272194892,0.0553848677505603,0.00843333333298991,0.00119433528909774
xor,diag,0.219353922612709,0.0377586496068451,0.512329546219259,0.00839500910158218,2.11687698254884,0.0205511878357773,0.00803333333412108,0.000718395402995105
xor,emp,0.859992900248491,0.0132268829888285,0.987595889193676,0.00232380756525298,0.517770017039588,0.0240278340363452,0.00833333333333333,0.00144635888405997
xor,oas,0.876606318778843,0.0122031433567734,0.988224872186883,0.00146011601240169,0.613468523146294,0.0195301166911797,0.00763333333331199,0.000999425122346927
xor,ss,0.877593184238552,0.0128845344609797,0.989659061082981,0.00161618953774062,0.524227386115406,0.0198454574499855,0.0226666666664338,0.00289271776846687
xor,ppca,0.89509407170749,0.014068268486853,0.991645921183471,0.00170749574119875,0.485392944126423,0.0209451062736993,0.0117666666660322,0.00284887555863544
xor,spc,0.751735889243876,0.0179324736768373,0.966797983782127,0.00489976090995519,0.730780910997053,0.0404052572150319,0.174500000000504,0.0207808764877219
xor,quic,0.859659211927583,0.012503518826977,0.985105760452032,0.00187527395522318,0.703285790565479,0.0469200108897256,0.0166666666666667,0.00241165751134856
